step,x,y,action,target_x,target_y,semantic,height,slope,roughness,traversability_class,cost,step_cost,cumulative_cost,planner_mode,coverage_rate,recovery_id,reason
41,39,2,cover,39,2,floor,0.0,0.0,0.0,free,1.0,1.0,41.0,baseline_2d,0.050359712230215826,,toward_cover
42,38,2,cover,38,2,floor,0.0,0.0,0.0,free,1.0,1.0,42.0,baseline_2d,0.05155875299760192,,toward_cover
43,37,2,cover,37,2,floor,0.0,0.0,0.0,free,1.0,1.0,43.0,baseline_2d,0.05275779376498801,,toward_cover
44,36,2,cover,36,2,floor,0.0,0.0,0.0,free,1.0,1.0,44.0,baseline_2d,0.0539568345323741,,toward_cover
45,35,2,cover,35,2,floor,0.0,0.0,0.0,free,1.0,1.0,45.0,baseline_2d,0.05515587529976019,,toward_cover
46,34,2,cover,34,2,floor,0.0,0.0,0.0,free,1.0,1.0,46.0,baseline_2d,0.05635491606714628,,toward_cover
47,33,2,cover,33,2,floor,0.0,0.0,0.0,free,1.0,1.0,47.0,baseline_2d,0.05755395683453238,,toward_cover
48,32,2,cover,32,2,floor,0.0,0.0,0.0,free,1.0,1.0,48.0,baseline_2d,0.05875299760191847,,toward_cover
49,31,2,cover,31,2,floor,0.0,0.0,0.0,free,1.0,1.0,49.0,baseline_2d,0.05995203836930456,,toward_cover
50,30,2,cover,30,2,floor,0.0,0.0,0.0,free,1.0,1.0,50.0,baseline_2d,0.06115107913669065,,toward_cover
51,29,2,cover,29,2,floor,0.0,0.0,0.0,free,1.0,1.0,51.0,baseline_2d,0.06235011990407674,,toward_cover
52,28,2,cover,28,2,floor,0.0,0.0,0.0,free,1.0,1.0,52.0,baseline_2d,0.06354916067146282,,toward_cover
53,27,2,cover,27,2,floor,0.0,0.0,0.0,free,1.0,1.0,53.0,baseline_2d,0.06474820143884892,,toward_cover
54,26,2,cover,26,2,floor,0.0,0.0,0.0,free,1.0,1.0,54.0,baseline_2d,0.06594724220623502,,toward_cover
55,25,2,cover,25,2,floor,0.0,0.0,0.0,free,1.0,1.0,55.0,baseline_2d,0.0671462829736211,,toward_cover
56,24,2,cover,24,2,floor,0.0,0.0,0.0,free,1.0,1.0,56.0,baseline_2d,0.0683453237410072,,toward_cover
57,23,2,cover,23,2,floor,0.0,0.0,0.0,free,1.0,1.0,57.0,baseline_2d,0.06954436450839328,,toward_cover
58,22,2,cover,22,2,floor,0.0,0.0,0.0,free,1.0,1.0,58.0,baseline_2d,0.07074340527577938,,toward_cover
59,21,2,cover,21,2,floor,0.0,0.0,0.0,free,1.0,1.0,59.0,baseline_2d,0.07194244604316546,,toward_cover
60,20,2,cover,20,2,floor,0.0,0.0,0.0,free,1.0,1.0,60.0,baseline_2d,0.07314148681055156,,toward_cover
61,19,2,cover,19,2,floor,0.0,0.0,0.0,free,1.0,1.0,61.0,baseline_2d,0.07434052757793765,,toward_cover
62,18,2,cover,18,2,floor,0.0,0.0,0.0,free,1.0,1.0,62.0,baseline_2d,0.07553956834532374,,toward_cover
63,17,2,cover,17,2,floor,0.0,0.0,0.0,free,1.0,1.0,63.0,baseline_2d,0.07673860911270983,,toward_cover
64,16,2,cover,16,2,floor,0.0,0.0,0.0,free,1.0,1.0,64.0,baseline_2d,0.07793764988009592,,toward_cover
65,15,2,cover,15,2,floor,0.0,0.0,0.0,free,1.0,1.0,65.0,baseline_2d,0.07913669064748201,,toward_cover
66,14,2,cover,14,2,floor,0.0,0.0,0.0,free,1.0,1.0,66.0,baseline_2d,0.0803357314148681,,toward_cover
67,13,2,cover,13,2,floor,0.0,0.0,0.0,free,1.0,1.0,67.0,baseline_2d,0.0815347721822542,,toward_cover
68,12,2,cover,12,2,floor,0.0,0.0,0.0,free,1.0,1.0,68.0,baseline_2d,0.08273381294964029,,toward_cover
69,11,2,cover,11,2,floor,0.0,0.0,0.0,free,1.0,1.0,69.0,baseline_2d,0.08393285371702638,,toward_cover
70,10,2,cover,10,2,floor,0.0,0.0,0.0,free,1.0,1.0,70.0,baseline_2d,0.08513189448441247,,toward_cover
71,9,2,cover,9,2,floor,0.0,0.0,0.0,free,1.0,1.0,71.0,baseline_2d,0.08633093525179857,,toward_cover
72,8,2,cover,8,2,floor,0.0,0.0,0.0,free,1.0,1.0,72.0,baseline_2d,0.08752997601918465,,toward_cover
73,7,2,cover,7,2,floor,0.0,0.0,0.0,free,1.0,1.0,73.0,baseline_2d,0.08872901678657075,,toward_cover
74,6,2,cover,6,2,floor,0.0,0.0,0.0,free,1.0,1.0,74.0,baseline_2d,0.08992805755395683,,toward_cover
75,5,2,cover,5,2,floor,0.0,0.0,0.0,free,1.0,1.0,75.0,baseline_2d,0.09112709832134293,,toward_cover
76,4,2,cover,4,2,floor,0.0,0.0,0.0,free,1.0,1.0,76.0,baseline_2d,0.09232613908872901,,toward_cover
77,3,2,cover,3,2,floor,0.0,0.0,0.0,free,1.0,1.0,77.0,baseline_2d,0.09352517985611511,,toward_cover
78,3,3,cover,3,3,floor,0.0,0.0,0.0,free,1.0,1.0,78.0,baseline_2d,0.09472422062350119,,toward_cover
79,4,3,cover,4,3,floor,0.0,0.0,0.0,free,1.0,1.0,79.0,baseline_2d,0.09592326139088729,,toward_cover
80,5,3,cover,5,3,floor,0.0,0.0,0.0,free,1.0,1.0,80.0,baseline_2d,0.09712230215827339,,toward_cover
81,6,3,cover,6,3,floor,0.0,0.0,0.0,free,1.0,1.0,81.0,baseline_2d,0.09832134292565947,,toward_cover
82,7,3,cover,7,3,floor,0.0,0.0,0.0,free,1.0,1.0,82.0,baseline_2d,0.09952038369304557,,toward_cover
83,8,3,cover,8,3,floor,0.0,0.0,0.0,free,1.0,1.0,83.0,baseline_2d,0.10071942446043165,,toward_cover
84,9,3,cover,9,3,floor,0.0,0.0,0.0,free,1.0,1.0,84.0,baseline_2d,0.10191846522781775,,toward_cover
85,10,3,cover,10,3,floor,0.0,0.0,0.0,free,1.0,1.0,85.0,baseline_2d,0.10311750599520383,,toward_cover
86,11,3,cover,11,3,floor,0.0,0.0,0.0,free,1.0,1.0,86.0,baseline_2d,0.10431654676258993,,toward_cover
87,12,3,cover,12,3,floor,0.0,0.0,0.0,free,1.0,1.0,87.0,baseline_2d,0.10551558752997602,,toward_cover
88,13,3,cover,13,3,floor,0.0,0.0,0.0,free,1.0,1.0,88.0,baseline_2d,0.10671462829736211,,toward_cover
89,14,3,cover,14,3,floor,0.0,0.0,0.0,free,1.0,1.0,89.0,baseline_2d,0.1079136690647482,,toward_cover
90,15,3,cover,15,3,floor,0.0,0.0,0.0,free,1.0,1.0,90.0,baseline_2d,0.1091127098321343,,toward_cover
91,16,3,cover,16,3,floor,0.0,0.0,0.0,free,1.0,1.0,91.0,baseline_2d,0.11031175059952038,,toward_cover
92,17,3,cover,17,3,floor,0.0,0.0,0.0,free,1.0,1.0,92.0,baseline_2d,0.11151079136690648,,toward_cover
93,18,3,cover,18,3,floor,0.0,0.0,0.0,free,1.0,1.0,93.0,baseline_2d,0.11270983213429256,,toward_cover
94,19,3,cover,19,3,floor,0.0,0.0,0.0,free,1.0,1.0,94.0,baseline_2d,0.11390887290167866,,toward_cover
95,20,3,cover,20,3,floor,0.0,0.0,0.0,free,1.0,1.0,95.0,baseline_2d,0.11510791366906475,,toward_cover
96,21,3,cover,21,3,floor,0.0,0.0,0.0,free,1.0,1.0,96.0,baseline_2d,0.11630695443645084,,toward_cover
97,22,3,cover,22,3,floor,0.0,0.0,0.0,free,1.0,1.0,97.0,baseline_2d,0.11750599520383694,,toward_cover
98,23,3,cover,23,3,floor,0.0,0.0,0.0,free,1.0,1.0,98.0,baseline_2d,0.11870503597122302,,toward_cover
99,24,3,cover,24,3,floor,0.0,0.0,0.0,free,1.0,1.0,99.0,baseline_2d,0.11990407673860912,,toward_cover
100,25,3,cover,25,3,floor,0.0,0.0,0.0,free,1.0,1.0,100.0,baseline_2d,0.1211031175059952,,toward_cover
101,26,3,cover,26,3,floor,0.0,0.0,0.0,free,1.0,1.0,101.0,baseline_2d,0.1223021582733813,,toward_cover
102,27,3,cover,27,3,floor,0.0,0.0,0.0,free,1.0,1.0,102.0,baseline_2d,0.12350119904076738,,toward_cover
103,28,3,cover,28,3,floor,0.0,0.0,0.0,free,1.0,1.0,103.0,baseline_2d,0.12470023980815348,,toward_cover
104,29,3,cover,29,3,floor,0.0,0.0,0.0,free,1.0,1.0,104.0,baseline_2d,0.12589928057553956,,toward_cover
105,30,3,cover,30,3,floor,0.0,0.0,0.0,free,1.0,1.0,105.0,baseline_2d,0.12709832134292565,,toward_cover
106,31,3,cover,31,3,floor,0.0,0.0,0.0,free,1.0,1.0,106.0,baseline_2d,0.12829736211031176,,toward_cover
107,32,3,cover,32,3,floor,0.0,0.0,0.0,free,1.0,1.0,107.0,baseline_2d,0.12949640287769784,,toward_cover
108,33,3,cover,33,3,floor,0.0,0.0,0.0,free,1.0,1.0,108.0,baseline_2d,0.13069544364508393,,toward_cover
109,34,3,cover,34,3,floor,0.0,0.0,0.0,free,1.0,1.0,109.0,baseline_2d,0.13189448441247004,,toward_cover
110,35,3,cover,35,3,floor,0.0,0.0,0.0,free,1.0,1.0,110.0,baseline_2d,0.13309352517985612,,toward_cover
111,36,3,cover,36,3,floor,0.0,0.0,0.0,free,1.0,1.0,111.0,baseline_2d,0.1342925659472422,,toward_cover
112,37,3,cover,37,3,floor,0.0,0.0,0.0,free,1.0,1.0,112.0,baseline_2d,0.1354916067146283,,toward_cover
113,38,3,cover,38,3,floor,0.0,0.0,0.0,free,1.0,1.0,113.0,baseline_2d,0.1366906474820144,,toward_cover
114,39,3,cover,39,3,floor,0.0,0.0,0.0,free,1.0,1.0,114.0,baseline_2d,0.13788968824940048,,toward_cover
115,40,3,cover,40,3,floor,0.0,0.0,0.0,free,1.0,1.0,115.0,baseline_2d,0.13908872901678657,,toward_cover
116,40,4,cover,40,4,floor,0.0,0.0,0.0,free,1.0,1.0,116.0,baseline_2d,0.14028776978417265,,toward_cover
117,39,4,cover,39,4,floor,0.0,0.0,0.0,free,1.0,1.0,117.0,baseline_2d,0.14148681055155876,,toward_cover
118,38,4,cover,38,4,floor,0.0,0.0,0.0,free,1.0,1.0,118.0,baseline_2d,0.14268585131894485,,toward_cover
119,37,4,cover,37,4,floor,0.0,0.0,0.0,free,1.0,1.0,119.0,baseline_2d,0.14388489208633093,,toward_cover
120,37,5,cover,37,5,floor,0.0,0.0,0.0,free,1.0,1.0,120.0,baseline_2d,0.145083932853717,,toward_cover
121,38,5,cover,38,5,floor,0.0,0.0,0.0,free,1.0,1.0,121.0,baseline_2d,0.14628297362110312,,toward_cover
122,39,5,cover,39,5,floor,0.0,0.0,0.0,free,1.0,1.0,122.0,baseline_2d,0.1474820143884892,,toward_cover
123,40,5,cover,40,5,floor,0.0,0.0,0.0,free,1.0,1.0,123.0,baseline_2d,0.1486810551558753,,toward_cover
124,40,6,cover,40,6,floor,0.0,0.0,0.0,free,1.0,1.0,124.0,baseline_2d,0.1498800959232614,,toward_cover
125,39,6,cover,39,6,floor,0.0,0.0,0.0,free,1.0,1.0,125.0,baseline_2d,0.1510791366906475,,toward_cover
126,38,6,cover,38,6,curtain_soft,0.0,0.0,0.12,cautious,2.0,1.0,126.0,baseline_2d,0.15227817745803357,,toward_cover
127,37,6,cover,37,6,floor,0.0,0.0,0.0,free,1.0,1.0,127.0,baseline_2d,0.15347721822541965,,toward_cover
128,37,7,cover,37,7,floor,0.0,0.0,0.0,free,1.0,1.0,128.0,baseline_2d,0.15467625899280577,,toward_cover
129,38,7,cover,38,7,curtain_soft,0.0,0.0,0.12,cautious,2.0,1.0,129.0,baseline_2d,0.15587529976019185,,toward_cover
130,39,7,cover,39,7,floor,0.0,0.0,0.0,free,1.0,1.0,130.0,baseline_2d,0.15707434052757793,,toward_cover
131,40,7,cover,40,7,floor,0.0,0.0,0.0,free,1.0,1.0,131.0,baseline_2d,0.15827338129496402,,toward_cover
132,40,8,cover,40,8,floor,0.0,0.0,0.0,free,1.0,1.0,132.0,baseline_2d,0.15947242206235013,,toward_cover
133,39,8,cover,39,8,floor,0.0,0.0,0.0,free,1.0,1.0,133.0,baseline_2d,0.1606714628297362,,toward_cover
134,38,8,cover,38,8,curtain_soft,0.0,0.0,0.12,cautious,2.0,1.0,134.0,baseline_2d,0.1618705035971223,,toward_cover
135,37,8,cover,37,8,floor,0.0,0.0,0.0,free,1.0,1.0,135.0,baseline_2d,0.1630695443645084,,toward_cover
136,37,9,cover,37,9,floor,0.0,0.0,0.0,free,1.0,1.0,136.0,baseline_2d,0.1642685851318945,,toward_cover
137,38,9,cover,38,9,curtain_soft,0.0,0.0,0.12,cautious,2.0,1.0,137.0,baseline_2d,0.16546762589928057,,toward_cover
138,39,9,cover,39,9,floor,0.0,0.0,0.0,free,1.0,1.0,138.0,baseline_2d,0.16666666666666666,,toward_cover
139,40,9,cover,40,9,floor,0.0,0.0,0.0,free,1.0,1.0,139.0,baseline_2d,0.16786570743405277,,toward_cover
140,40,10,cover,40,10,floor,0.0,0.0,0.0,free,1.0,1.0,140.0,baseline_2d,0.16906474820143885,,toward_cover
141,39,10,cover,39,10,floor,0.0,0.0,0.0,free,1.0,1.0,141.0,baseline_2d,0.17026378896882494,,toward_cover
142,38,10,cover,38,10,curtain_soft,0.0,0.0,0.12,cautious,2.0,1.0,142.0,baseline_2d,0.17146282973621102,,toward_cover
143,37,10,cover,37,10,floor,0.0,0.0,0.0,free,1.0,1.0,143.0,baseline_2d,0.17266187050359713,,toward_cover
144,37,11,cover,37,11,floor,0.0,0.0,0.0,free,1.0,1.0,144.0,baseline_2d,0.17386091127098321,,toward_cover
145,38,11,cover,38,11,curtain_soft,0.0,0.0,0.12,cautious,2.0,1.0,145.0,baseline_2d,0.1750599520383693,,toward_cover
146,39,11,cover,39,11,floor,0.0,0.0,0.0,free,1.0,1.0,146.0,baseline_2d,0.17625899280575538,,toward_cover
147,40,11,cover,40,11,floor,0.0,0.0,0.0,free,1.0,1.0,147.0,baseline_2d,0.1774580335731415,,toward_cover
148,40,12,cover,40,12,floor,0.0,0.0,0.0,free,1.0,1.0,148.0,baseline_2d,0.17865707434052758,,toward_cover
149,39,12,cover,39,12,floor,0.0,0.0,0.0,free,1.0,1.0,149.0,baseline_2d,0.17985611510791366,,toward_cover
150,38,12,cover,38,12,curtain_soft,0.0,0.0,0.12,cautious,2.0,1.0,150.0,baseline_2d,0.18105515587529977,,toward_cover
151,37,12,cover,37,12,floor,0.0,0.0,0.0,free,1.0,1.0,151.0,baseline_2d,0.18225419664268586,,toward_cover
152,36,12,cover,36,12,floor,0.0,0.0,0.0,free,1.0,1.0,152.0,baseline_2d,0.18345323741007194,,toward_cover
153,36,11,cover,36,11,floor,0.0,0.0,0.0,free,1.0,1.0,153.0,baseline_2d,0.18465227817745802,,toward_cover
154,36,12,recover_backtrack,37,12,floor,0.0,0.0,0.0,free,1.0,1.0,154.0,baseline_2d,0.18465227817745802,1,backtrack_to_branch_cell
155,37,12,recover_backtrack,37,12,floor,0.0,0.0,0.0,free,1.0,1.0,155.0,baseline_2d,0.18465227817745802,1,backtrack_to_branch_cell
156,37,13,recover_branch,37,13,floor,0.0,0.0,0.0,free,1.0,1.0,156.0,baseline_2d,0.18585131894484413,1,toward_recover_branch
157,38,13,cover,38,13,curtain_soft,0.0,0.0,0.12,cautious,2.0,1.0,157.0,baseline_2d,0.18705035971223022,1,toward_cover
158,39,13,cover,39,13,floor,0.0,0.0,0.0,free,1.0,1.0,158.0,baseline_2d,0.1882494004796163,1,toward_cover
159,40,13,cover,40,13,floor,0.0,0.0,0.0,free,1.0,1.0,159.0,baseline_2d,0.18944844124700239,1,toward_cover
160,40,14,cover,40,14,floor,0.0,0.0,0.0,free,1.0,1.0,160.0,baseline_2d,0.1906474820143885,1,toward_cover
161,39,14,cover,39,14,floor,0.0,0.0,0.0,free,1.0,1.0,161.0,baseline_2d,0.19184652278177458,1,toward_cover
162,38,14,cover,38,14,curtain_soft,0.0,0.0,0.12,cautious,2.0,1.0,162.0,baseline_2d,0.19304556354916066,1,toward_cover
163,37,14,cover,37,14,floor,0.0,0.0,0.0,free,1.0,1.0,163.0,baseline_2d,0.19424460431654678,1,toward_cover
164,37,15,cover,37,15,floor,0.0,0.0,0.0,free,1.0,1.0,164.0,baseline_2d,0.19544364508393286,1,toward_cover
165,38,15,cover,38,15,curtain_soft,0.0,0.0,0.12,cautious,2.0,1.0,165.0,baseline_2d,0.19664268585131894,1,toward_cover
166,39,15,cover,39,15,floor,0.0,0.0,0.0,free,1.0,1.0,166.0,baseline_2d,0.19784172661870503,1,toward_cover
167,40,15,cover,40,15,floor,0.0,0.0,0.0,free,1.0,1.0,167.0,baseline_2d,0.19904076738609114,1,toward_cover
168,40,16,cover,40,16,floor,0.0,0.0,0.0,free,1.0,1.0,168.0,baseline_2d,0.20023980815347722,1,toward_cover
169,39,16,cover,39,16,floor,0.0,0.0,0.0,free,1.0,1.0,169.0,baseline_2d,0.2014388489208633,1,toward_cover
170,38,16,cover,38,16,curtain_soft,0.0,0.0,0.12,cautious,2.0,1.0,170.0,baseline_2d,0.2026378896882494,1,toward_cover
171,37,16,cover,37,16,floor,0.0,0.0,0.0,free,1.0,1.0,171.0,baseline_2d,0.2038369304556355,1,toward_cover
172,37,17,cover,37,17,floor,0.0,0.0,0.0,free,1.0,1.0,172.0,baseline_2d,0.20503597122302158,1,toward_cover
173,38,17,cover,38,17,curtain_soft,0.0,0.0,0.12,cautious,2.0,1.0,173.0,baseline_2d,0.20623501199040767,1,toward_cover
174,39,17,cover,39,17,floor,0.0,0.0,0.0,free,1.0,1.0,174.0,baseline_2d,0.20743405275779375,1,toward_cover
175,40,17,cover,40,17,floor,0.0,0.0,0.0,free,1.0,1.0,175.0,baseline_2d,0.20863309352517986,1,toward_cover
176,40,18,cover,40,18,floor,0.0,0.0,0.0,free,1.0,1.0,176.0,baseline_2d,0.20983213429256595,1,toward_cover
177,39,18,cover,39,18,floor,0.0,0.0,0.0,free,1.0,1.0,177.0,baseline_2d,0.21103117505995203,1,toward_cover
178,38,18,cover,38,18,curtain_soft,0.0,0.0,0.12,cautious,2.0,1.0,178.0,baseline_2d,0.21223021582733814,1,toward_cover
179,37,18,cover,37,18,floor,0.0,0.0,0.0,free,1.0,1.0,179.0,baseline_2d,0.21342925659472423,1,toward_cover
180,37,19,cover,37,19,floor,0.0,0.0,0.0,free,1.0,1.0,180.0,baseline_2d,0.2146282973621103,1,toward_cover
181,38,19,cover,38,19,curtain_soft,0.0,0.0,0.12,cautious,2.0,1.0,181.0,baseline_2d,0.2158273381294964,1,toward_cover
182,39,19,cover,39,19,floor,0.0,0.0,0.0,free,1.0,1.0,182.0,baseline_2d,0.2170263788968825,1,toward_cover
183,40,19,cover,40,19,floor,0.0,0.0,0.0,free,1.0,1.0,183.0,baseline_2d,0.2182254196642686,1,toward_cover
184,40,20,cover,40,20,floor,0.0,0.0,0.0,free,1.0,1.0,184.0,baseline_2d,0.21942446043165467,1,toward_cover
185,39,20,cover,39,20,floor,0.0,0.0,0.0,free,1.0,1.0,185.0,baseline_2d,0.22062350119904076,1,toward_cover
186,38,20,cover,38,20,floor,0.0,0.0,0.0,free,1.0,1.0,186.0,baseline_2d,0.22182254196642687,1,toward_cover
187,37,20,cover,37,20,floor,0.0,0.0,0.0,free,1.0,1.0,187.0,baseline_2d,0.22302158273381295,1,toward_cover
188,36,20,cover,36,20,floor,0.0,0.0,0.0,free,1.0,1.0,188.0,baseline_2d,0.22422062350119903,1,toward_cover
189,35,20,cover,35,20,floor,0.0,0.0,0.0,free,1.0,1.0,189.0,baseline_2d,0.22541966426858512,1,toward_cover
190,34,20,cover,34,20,floor,0.0,0.0,0.0,free,1.0,1.0,190.0,baseline_2d,0.22661870503597123,1,toward_cover
191,33,20,cover,33,20,floor,0.0,0.0,0.0,free,1.0,1.0,191.0,baseline_2d,0.2278177458033573,1,toward_cover
192,32,20,cover,32,20,floor,0.0,0.0,0.0,free,1.0,1.0,192.0,baseline_2d,0.2290167865707434,1,toward_cover
193,31,20,cover,31,20,floor,0.0,0.0,0.0,free,1.0,1.0,193.0,baseline_2d,0.2302158273381295,1,toward_cover
194,31,19,cover,31,19,floor,0.0,0.0,0.0,free,1.0,1.0,194.0,baseline_2d,0.2314148681055156,1,toward_cover
195,31,18,cover,31,18,floor,0.0,0.0,0.0,free,1.0,1.0,195.0,baseline_2d,0.23261390887290168,1,toward_cover
196,31,17,cover,31,17,floor,0.0,0.0,0.0,free,1.0,1.0,196.0,baseline_2d,0.23381294964028776,1,toward_cover
197,31,16,cover,31,16,floor,0.0,0.0,0.0,free,1.0,1.0,197.0,baseline_2d,0.23501199040767387,1,toward_cover
198,31,15,cover,31,15,floor,0.0,0.0,0.0,free,1.0,1.0,198.0,baseline_2d,0.23621103117505995,1,toward_cover
199,31,14,cover,31,14,floor,0.0,0.0,0.0,free,1.0,1.0,199.0,baseline_2d,0.23741007194244604,1,toward_cover
200,31,13,cover,31,13,floor,0.0,0.0,0.0,free,1.0,1.0,200.0,baseline_2d,0.23860911270983212,1,toward_cover
201,31,12,cover,31,12,floor,0.0,0.0,0.0,free,1.0,1.0,201.0,baseline_2d,0.23980815347721823,1,toward_cover
202,31,11,cover,31,11,floor,0.0,0.0,0.0,free,1.0,1.0,202.0,baseline_2d,0.24100719424460432,1,toward_cover
203,31,10,cover,31,10,floor,0.0,0.0,0.0,free,1.0,1.0,203.0,baseline_2d,0.2422062350119904,1,toward_cover
204,31,9,cover,31,9,floor,0.0,0.0,0.0,free,1.0,1.0,204.0,baseline_2d,0.2434052757793765,1,toward_cover
205,31,8,cover,31,8,floor,0.0,0.0,0.0,free,1.0,1.0,205.0,baseline_2d,0.2446043165467626,1,toward_cover
206,31,7,cover,31,7,floor,0.0,0.0,0.0,free,1.0,1.0,206.0,baseline_2d,0.24580335731414868,1,toward_cover
207,31,6,cover,31,6,floor,0.0,0.0,0.0,free,1.0,1.0,207.0,baseline_2d,0.24700239808153476,1,toward_cover
208,31,5,cover,31,5,floor,0.0,0.0,0.0,free,1.0,1.0,208.0,baseline_2d,0.24820143884892087,1,toward_cover
209,31,4,cover,31,4,floor,0.0,0.0,0.0,free,1.0,1.0,209.0,baseline_2d,0.24940047961630696,1,toward_cover
