step,x,y,action,target_x,target_y,semantic,height,slope,roughness,traversability_class,cost,coverage_rate,recovery_id,reason
54,14,2,cover,14,2,floor,0.0,0.0,0.0,normal,1.0,0.08148148148148149,,toward_cover
55,13,2,cover,13,2,floor,0.0,0.0,0.0,normal,1.0,0.08296296296296296,,toward_cover
56,12,2,cover,12,2,floor,0.0,0.0,0.0,normal,1.0,0.08444444444444445,,toward_cover
57,11,2,cover,11,2,floor,0.0,0.0,0.0,normal,1.0,0.08592592592592592,,toward_cover
58,10,2,cover,10,2,floor,0.0,0.0,0.0,normal,1.0,0.0874074074074074,,toward_cover
59,9,2,cover,9,2,floor,0.0,0.0,0.0,normal,1.0,0.08888888888888889,,toward_cover
60,8,2,cover,8,2,floor,0.0,0.0,0.0,normal,1.0,0.09037037037037036,,toward_cover
61,7,2,cover,7,2,floor,0.0,0.0,0.0,normal,1.0,0.09185185185185185,,toward_cover
62,6,2,cover,6,2,floor,0.0,0.0,0.0,normal,1.0,0.09333333333333334,,toward_cover
63,5,2,cover,5,2,floor,0.0,0.0,0.0,normal,1.0,0.09481481481481481,,toward_cover
64,4,2,cover,4,2,floor,0.0,0.0,0.0,normal,1.0,0.0962962962962963,,toward_cover
65,3,2,cover,3,2,floor,0.0,0.0,0.0,normal,1.0,0.09777777777777778,,toward_cover
66,3,3,cover,3,3,floor,0.0,0.0,0.0,normal,1.0,0.09925925925925926,,toward_cover
67,4,3,cover,4,3,floor,0.0,0.0,0.0,normal,1.0,0.10074074074074074,,toward_cover
68,5,3,cover,5,3,floor,0.0,0.0,0.0,normal,1.0,0.10222222222222223,,toward_cover
69,6,3,cover,6,3,floor,0.0,0.0,0.0,normal,1.0,0.1037037037037037,,toward_cover
70,7,3,cover,7,3,floor,0.0,0.0,0.0,normal,1.0,0.10518518518518519,,toward_cover
71,8,3,cover,8,3,floor,0.0,0.0,0.0,normal,1.0,0.10666666666666667,,toward_cover
72,9,3,cover,9,3,floor,0.0,0.0,0.0,normal,1.0,0.10814814814814815,,toward_cover
73,10,3,cover,10,3,floor,0.0,0.0,0.0,normal,1.0,0.10962962962962963,,toward_cover
74,11,3,cover,11,3,floor,0.0,0.0,0.0,normal,1.0,0.1111111111111111,,toward_cover
75,12,3,cover,12,3,floor,0.0,0.0,0.0,normal,1.0,0.11259259259259259,,toward_cover
76,13,3,cover,13,3,floor,0.0,0.0,0.0,normal,1.0,0.11407407407407408,,toward_cover
77,14,3,cover,14,3,floor,0.0,0.0,0.0,normal,1.0,0.11555555555555555,,toward_cover
78,15,3,cover,15,3,floor,0.0,0.0,0.0,normal,1.0,0.11703703703703704,,toward_cover
79,16,3,cover,16,3,floor,0.0,0.0,0.0,normal,1.0,0.11851851851851852,,toward_cover
