step,x,y,action,target_x,target_y,semantic,height,slope,roughness,traversability_class,cost,coverage_rate,recovery_id,reason
55,1,2,cover,1,2,floor,0.0,0.0,0.0,normal,1.0,0.11666666666666667,,toward_cover
56,1,3,cover,1,3,floor,0.0,0.0,0.0,normal,1.0,0.11875,,toward_cover
57,2,3,cover,2,3,floor,0.0,0.0,0.0,normal,1.0,0.12083333333333333,,toward_cover
58,3,3,cover,3,3,floor,0.0,0.0,0.0,normal,1.0,0.12291666666666666,,toward_cover
59,4,3,cover,4,3,floor,0.0,0.0,0.0,normal,1.0,0.125,,toward_cover
60,5,3,cover,5,3,floor,0.0,0.0,0.0,normal,1.0,0.12708333333333333,,toward_cover
61,6,3,cover,6,3,floor,0.0,0.0,0.0,normal,1.0,0.12916666666666668,,toward_cover
62,7,3,cover,7,3,floor,0.0,0.0,0.0,normal,1.0,0.13125,,toward_cover
63,8,3,cover,8,3,floor,0.0,0.0,0.0,normal,1.0,0.13333333333333333,,toward_cover
64,9,3,cover,9,3,floor,0.0,0.0,0.0,normal,1.0,0.13541666666666666,,toward_cover
65,10,3,cover,10,3,floor,0.0,0.0,0.0,normal,1.0,0.1375,,toward_cover
66,11,3,cover,11,3,floor,0.0,0.0,0.0,normal,1.0,0.13958333333333334,,toward_cover
67,12,3,cover,12,3,floor,0.0,0.0,0.0,normal,1.0,0.14166666666666666,,toward_cover
68,13,3,cover,13,3,floor,0.0,0.0,0.0,normal,1.0,0.14375,,toward_cover
69,14,3,cover,14,3,floor,0.0,0.0,0.0,normal,1.0,0.14583333333333334,,toward_cover
70,15,3,cover,15,3,floor,0.0,0.0,0.0,normal,1.0,0.14791666666666667,,toward_cover
71,16,3,cover,16,3,carpet,0.0,0.0,0.0,high_cost,1.5,0.15,,toward_cover
72,17,3,cover,17,3,carpet,0.0,0.0,0.0,high_cost,1.5,0.15208333333333332,,toward_cover
73,18,3,cover,18,3,carpet,0.0,0.0,0.0,high_cost,1.5,0.15416666666666667,,toward_cover
74,19,3,cover,19,3,carpet,0.0,0.0,0.0,high_cost,1.5,0.15625,,toward_cover
75,20,3,cover,20,3,carpet,0.0,0.0,0.0,high_cost,1.5,0.15833333333333333,,toward_cover
76,21,3,cover,21,3,carpet,0.0,0.0,0.0,high_cost,1.5,0.16041666666666668,,toward_cover
77,22,3,cover,22,3,carpet,0.0,0.0,0.0,high_cost,1.5,0.1625,,toward_cover
78,23,3,cover,23,3,carpet,0.0,0.0,0.0,high_cost,1.5,0.16458333333333333,,toward_cover
79,24,3,cover,24,3,floor,0.0,0.0,0.0,normal,1.0,0.16666666666666666,,toward_cover
80,25,3,cover,25,3,floor,0.0,0.0,0.0,normal,1.0,0.16875,,toward_cover
81,26,3,cover,26,3,floor,0.0,0.0,0.0,normal,1.0,0.17083333333333334,,toward_cover
82,27,3,cover,27,3,floor,0.0,0.0,0.0,normal,1.0,0.17291666666666666,,toward_cover
83,28,3,cover,28,3,floor,0.0,0.0,0.0,normal,1.0,0.175,,toward_cover
84,28,4,cover,28,4,floor,0.0,0.0,0.0,normal,1.0,0.17708333333333334,,toward_cover
85,27,4,cover,27,4,floor,0.0,0.0,0.0,normal,1.0,0.17916666666666667,,toward_cover
86,26,4,cover,26,4,floor,0.0,0.0,0.0,normal,1.0,0.18125,,toward_cover
